"MSSubClass_te","MSZoning_te","LandContour_te","Neighborhood_te","Id","LotFrontage","LotArea","Alley","LotShape","LotConfig","LandSlope","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","Fence","MiscVal","MoSold","YrSold","SaleType","SaleCondition","set","Neighborhood2","BsmtQual_ind","GarageType_ind","Age","AgeOfRemodel","AgeOfGarage","LiveableModSF","open_floor_proxy","BathTotal","ConditionalQuality","keeping_up_with_jones","SalePrice","ms","lot_age_and_qual"
12.4111050816767,12.1536919447148,12.0904954546986,12.2352719827744,1,65,9.04192172035122,"None","Reg","Inside","Gtl","Norm","Norm","1Fam","2Story",7,5,2003,2003,"Gable","VinylSd","VinylSd","BrkFace",196,"Gd","TA","PConc","Gd","TA",0,"GLQ",706,"Unf",0,150,856,"Ex","Y","SBrkr",856,854,0,7.44424864949671,1,0,2,1,3,1,"Gd",8,"Typ",0,"None","Attchd",2003,"RFn",2,548,"TA","TA","Y",0,61,0,0,0,0,"None",0,2,2008,"WD","Normal","train","CollgCr",1,1,5,5,5,7.64876132570269,0.930531081187088,3.5,35,"1",12.247694320221,150.840747856184,-5.28464171184716
11.9775130382917,12.0110932618518,11.9477205467964,12.2393775788824,2,80,9.16951837745593,"None","Reg","FR2","Gtl","Feedr","Norm","1Fam","1Story",6,8,1976,1976,"Gable","MetalSd","MetalSd","None",0,"TA","TA","CBlock","Gd","TA",1,"ALQ",978,"Unf",0,284,1262,"Ex","Y","SBrkr",1262,0,0,7.14045304310116,0,1,2,0,3,1,"NW",6,"Typ",1,"TA","Attchd",1976,"RFn",2,460,"TA","TA","Y",298,0,0,0,0,0,"None",0,5,2007,"WD","Normal","train","Veenker",1,1,31,31,31,7.58754763085204,1.19007550718353,2.5,48,"1",12.109010932687,143.863026147968,-8.34596653217052
12.3764480858109,12.1191875189681,12.0558148039127,12.1949920506476,3,68,9.32812340763257,"None","IR1","Inside","Gtl","Norm","Norm","1Fam","2Story",7,5,2001,2002,"Gable","VinylSd","VinylSd","BrkFace",162,"Gd","TA","PConc","Gd","TA",0,"GLQ",486,"Unf",0,434,920,"Ex","Y","SBrkr",920,866,0,7.48773376143644,1,0,2,1,3,1,"Gd",6,"Typ",1,"TA","Attchd",2001,"RFn",2,608,"TA","TA","Y",0,42,0,0,0,0,"None",0,9,2008,"WD","Normal","train","CollgCr",1,1,7,6,7,7.66028115284139,1.24795562690607,3.5,35,"4",12.3171666930358,149.992495170716,-5.37344270734477
12.1235128160185,12.227899158824,12.167136023298,12.3659701206559,4,60,9.16429643347478,"None","IR1","Corner","Gtl","Norm","Norm","1Fam","2Story",7,5,1915,1970,"Gable","Wd Sdng","Wd Shng","None",0,"TA","TA","BrkTil","TA","Gd",0,"ALQ",216,"Unf",0,540,756,"Gd","Y","SBrkr",961,756,0,7.44833386089748,1,0,1,0,3,1,"Gd",7,"Typ",1,"Gd","Detchd",1998,"Unf",3,642,"TA","TA","Y",0,35,272,0,0,0,"None",0,2,2006,"WD","Abnorml","train","Crawfor",0,0,91,36,8,7.47523947109028,1.06404769441393,2,35,"2",11.8493977015914,148.245092164985,-12.5422316039926
12.2162989368052,11.9688732934837,11.9086945650617,12.5391542357853,5,84,9.56521369396829,"None","IR1","FR2","Gtl","Norm","Norm","1Fam","2Story",8,5,2000,2000,"Gable","VinylSd","VinylSd","BrkFace",350,"Gd","TA","PConc","Gd","TA",0,"GLQ",655,"Unf",0,490,1145,"Ex","Y","SBrkr",1145,1053,0,7.69530313496357,1,0,2,1,4,1,"Gd",9,"Typ",1,"TA","Attchd",2000,"RFn",3,836,"TA","TA","Y",192,84,0,0,0,0,"None",0,12,2008,"WD","Normal","train","NoRidge",1,1,8,8,8,7.88468550789636,0.855033681662619,3.5,40,"4",12.4292161968444,146.215334089941,-5.17190799583964
11.8039300026853,12.0603347897177,11.9950261713412,11.899529232369,6,85,9.55499334068759,"None","IR1","Inside","Gtl","Norm","Norm","1Fam","1.5Fin",5,5,1993,1995,"Gable","VinylSd","VinylSd","None",0,"TA","TA","Wood","Gd","TA",0,"GLQ",732,"Unf",0,64,796,"Ex","Y","SBrkr",796,566,0,7.21670948670946,1,0,1,1,1,1,"NW",5,"Typ",0,"None","Attchd",1993,"Unf",2,480,"TA","TA","Y",40,30,0,320,0,0,"MnPrv",700,10,2009,"WD","Normal","train","Mitchel",1,1,16,14,16,7.51418998851661,1.44334189734189,2.5,25,"4",11.870599909242,142.359347666778,-6.44003283065356
11.943273007692,11.9716586671541,11.9103674981313,12.1822706206407,7,75,9.21870528830781,"None","Reg","Inside","Gtl","Norm","Norm","1Fam","1Story",8,5,2004,2005,"Gable","VinylSd","VinylSd","Stone",186,"Gd","TA","PConc","Ex","TA",0,"GLQ",1369,"Unf",0,317,1686,"Ex","Y","SBrkr",1694,0,0,7.434847875212,1,0,2,0,3,1,"Gd",7,"Typ",1,"Gd","Attchd",2004,"RFn",2,636,"TA","TA","Y",255,57,0,0,0,0,"None",0,8,2007,"WD","Normal","train","Somerst",2,1,3,2,3,7.80603230194976,1.06212112503029,3,40,"3",12.6346030265693,142.980787816723,-4.42371301739234
12.2994016139767,12.0421410471339,11.9787683320786,12.1020960931287,8,0,9.24782881638717,"None","IR1","Corner","Gtl","PosN","Norm","1Fam","2Story",7,6,1973,1973,"Gable","HdBoard","HdBoard","Stone",240,"TA","TA","CBlock","Gd","TA",0,"ALQ",859,"BLQ",32,216,1107,"Ex","Y","SBrkr",1107,983,0,7.64491934495886,1,0,2,1,3,1,"NW",7,"Typ",2,"TA","Attchd",1973,"RFn",2,484,"TA","TA","Y",235,204,228,0,0,0,"None",350,11,2009,"WD","Normal","train","NWAmes",1,1,36,36,36,7.83100140302636,1.09213133499412,3.5,42,"2",12.2060726455302,148.111129030854,-8.73093951569139
11.7472199222545,11.6299603386345,11.9516354796926,11.6269120957868,9,51,8.71931737550637,"None","Reg","Inside","Gtl","Artery","Norm","1Fam","1.5Fin",7,5,1931,1950,"Gable","BrkFace","Wd Shng","None",0,"TA","TA","BrkTil","TA","TA",0,"Unf",0,"Unf",0,952,952,"Gd","Y","FuseF",1022,752,0,7.48099216286953,0,0,2,0,2,2,"NW",8,"Min1",2,"TA","Detchd",1931,"Unf",2,468,"Fa","TA","Y",90,0,205,0,0,0,"None",0,4,2008,"WD","Abnorml","train","OldTown",0,0,77,58,77,7.48099216286953,0.935124020358691,2,35,"2",11.7745202026587,136.619701785037,-12.0072824915784
11.8887642175051,12.2083814033155,12.1476182677895,11.8214536136369,10,50,8.91193433616143,"None","Reg","Corner","Gtl","Artery","Artery","2fmCon","1.5Unf",5,6,1939,1950,"Gable","MetalSd","MetalSd","None",0,"TA","TA","BrkTil","TA","TA",0,"GLQ",851,"Unf",0,140,991,"Ex","Y","SBrkr",1077,0,0,6.98193467715639,1,0,1,0,2,2,"NW",5,"Typ",2,"TA","Attchd",1939,"RFn",1,205,"Gd","TA","Y",0,4,0,0,0,0,"None",0,1,2008,"WD","Normal","train","BrkSide",0,1,69,58,69,7.18764051805632,1.39638693543128,2,30,"4",11.6784399034478,145.142567981392,-11.5423077945462
